SI NO,Functionality,Title,Step Description
AS_1,Agent Browse and Search,Ext Agent_No contracts_Error,Agent does not have contracts should show error in Customer Accounts page. 
AS_10,Agent Browse and Search,Int Agent_Seach page_Name Search_Trust and Custodials,Verify that agent can search its Trust and Custodials contracts using first name and last name.
AS_11,Agent Browse and Search,Int Agent_each page_SSN Search,Verify that agent can search any contracts using owner SSN
AS_12,Agent Browse and Search,Int Agent_each page_SSN Search_Trust and Custodials,Verify that agent can search its Trust and Custodials contracts using owner SSN
AS_13,Agent Browse and Search,Int Agent_search page_Contract_Account_No_Search,Verify that agent get no search reasult for wrong search options.
AS_14,Agent Browse and Search,Int Agent_search page_Breadcrumb,Verify that agent gets Breadcrumb search page.
AS_15,Agent Browse and Search,Ext BD_No contracts_Error,BD search should show error for not matching criteria
AS_16,Agent Browse and Search,Ext BD_Validate search options for agent ,BD selects Customer Accounts and select Financial advisor button. Which Allows seach contrct using following methods:
AS_17,Agent Browse and Search,Ext BD_Customer search text ,BD selects Customer Accounts and select Customer button. Which Allows seach contract using following methods:
AS_18,Agent Browse and Search,Int BD_Seach page_Name Search,BD cshould be able to search a valid agent by first Name and Last name
AS_19,Agent Browse and Search,Int BD_Seach page_Name Search_Trust and Custodials,Verify that BD should be able to search Trust or Custodials contract using Last name.
AS_2,Agent Browse and Search,Ext Agent_Validate search options for agent ,Agent selects Customer Accounts and select Search button. Which Allows search contract using following methods:
AS_20,Agent Browse and Search,Int BD_each page_SSN Search,Verify that BD should be able to seach a Fianacial advisor or Customer using SSN.
AS_21,Agent Browse and Search,Ext BD_search page_Breadcrumb,Verify that Breadcrumb
AS_22,Agent Browse and Search,INT BD_Garwin_Regression test search works using both FA and Customer_QA,"Int BD_Garwin_Regression test search works using both FA and Customer for Garwin contracts with heirarchy (SPIA, Quest, PA)"
AS_23,Agent Browse and Search,INT BD_LifeCAD_Regression test search works using both FA and Customer_QA,Int BD_Garwin_Regression test search works using both FA and Customer for LifeCAD contracts with heirarchy.
AS_24,Agent Browse and Search,Int Agent_Garwin_SP_Regression test search works using both FA and Customer,Int Agent_Garwin_SP_Regression test search works using both FA and Customer on SPIA contract
AS_25,Agent Browse and Search,Int Agent_Garwin_PA_Regression test search works using both FA and Customer,Int Agent_Garwin_PA_Regression test search works using both FA and Customer on Preferred Advantage.
AS_26,Agent Browse and Search,Int BD search by contract ID for Legacy contract,"Verify that BD can search for agent or customers using all options (agent SSN, First name and Last name, customer SSN, First name and Last name)"
